Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White,Black_Self_Dying_Count,White_Self_Dying_Count,Black_Kill_Count,White_Kill_Count,Black_Hit_Count,White_Hit_Count
40,5,white,Black,-1.015,0.99,-0.45998025,0.16371971,0.46842453,0.08905783,2.7294369,3.0632668,3,1,0,0,0,0
41,5,white,Black,-1.015,0.99,-0.11408449,0.18666677,0.09951833,0.0987466,2.7148638,3.0956905,3,1,0,0,0,0
42,8,black,Black,1.48,-1.52,-0.20905441,0.9694159,-0.56020695,0.8941399,3.057977,2.7365804,0,3,0,0,0,0
43,16,black,Black,0.46,-0.54,-0.08723883,0.23047298,-0.24637191,0.2340215,2.8821666,2.7544103,2,3,0,0,0,0
44,8,black,Black,0.98,-1.02,-0.7685283,0.709165,0.386861,0.6767092,3.118915,2.986825,1,3,0,0,0,0
45,5,white,Black,-1.015,0.99,0.34076524,0.28941214,0.371176,0.12834486,2.817088,3.1147408,3,1,0,0,0,0
46,7,white,Black,-0.52,0.485,-0.27397197,0.11703831,-0.5498992,0.06626999,2.75138,2.7183197,3,2,0,0,0,0
47,5,white,Black,-0.515,0.49,-0.10298014,0.14046757,0.077745214,0.06861632,2.8068638,3.0562801,3,2,0,0,0,0
48,14,black,Black,0.465,-0.535,-0.29506493,0.14408538,-0.071978316,0.14022507,2.7079444,2.7251287,2,3,0,0,0,0
49,10,black,Black,0.475,-0.525,-0.077655554,0.21107206,-0.80533737,0.20415851,2.833599,2.7571878,2,3,0,0,0,0
50,6,black,Black,0.485,-0.515,0.020737305,0.14169757,-0.5769261,0.24350752,2.737788,2.8405457,2,3,0,0,0,0
51,5,white,Black,-1.515,1.49,-0.73453635,0.6403286,0.15795983,0.53043133,2.7690315,3.0920453,3,0,0,0,0,0
52,7,white,Black,-1.02,0.985,-0.592186,0.4460755,-0.21168724,0.48989853,2.783842,2.9880886,3,1,0,0,0,0
53,6,black,Black,0.985,-1.015,0.17825417,0.57094026,-0.398625,0.47808257,2.9799051,2.7905262,1,2,1,0,0,0
54,8,black,Black,0.48,-0.52,0.032638684,0.06950265,-0.307294,0.0685506,3.0337296,2.6776104,2,3,0,0,0,0
55,19,white,Black,-0.55,0.455,-0.3327,0.26908427,-0.42348763,0.3432064,3.021384,2.521581,3,2,0,0,0,0
56,14,black,Black,0.465,-0.535,-0.12251069,0.15441248,-0.7152028,0.25214607,2.508569,2.6638887,2,3,0,0,0,0
57,13,white,Black,-0.535,0.47,0.04162374,0.09889396,-0.107082605,0.089104496,2.923027,3.1786778,3,2,0,0,0,0
58,5,white,Black,-1.515,1.49,-0.5829693,0.65012735,-0.24991508,0.5760368,2.7794707,3.304862,3,0,0,0,0,0
59,11,white,Black,-1.03,0.975,-0.7569493,0.33454028,0.10215017,0.36178142,2.4817426,3.0468338,3,1,0,0,0,0
60,10,black,Black,0.975,-1.025,-0.57579607,0.36408868,-0.41381142,0.2836762,3.1714256,2.7650576,1,3,0,0,0,0
61,18,black,Black,0.955,-1.045,-0.14003883,0.28590614,-0.28285778,0.20686577,3.0519814,2.5830803,1,3,0,0,0,0
62,12,black,Black,0.97,-1.03,-0.30209285,0.4670715,-0.4494612,0.37024868,2.8202896,2.7087777,1,3,0,0,0,0
63,10,black,Black,0.475,-0.525,-0.15058076,0.103407,-0.35895255,0.08776499,2.8627906,2.952786,2,3,0,0,0,0
