Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White,Black_Self_Dying_Count,White_Self_Dying_Count,Black_Kill_Count,White_Kill_Count,Black_Hit_Count,White_Hit_Count
1,9,white,Black,-20.621185,-5.7793474,-0.5530871,12.470978,-0.39085478,5.624646,2.555598,2.5391207,3,2,0,0,0,0
2,11,white,Black,-9.265619,-3.0300016,-0.033930875,12.065777,0.061248854,1.9835755,2.9227104,3.017409,3,2,0,0,1,0
3,9,white,Black,-19.37304,-7.171423,-0.6310993,10.1061325,-0.34621572,6.2044697,2.59971,3.0611653,3,2,0,0,0,0
4,5,white,Black,-23.625008,-8.922638,-0.7324615,13.366707,-0.39130715,4.2976856,2.6023033,2.9238658,3,2,0,0,0,0
5,9,black,Black,43.277973,-10.747153,-0.23193082,41.93555,-0.12714766,9.78557,3.2043786,3.0868168,1,2,1,0,0,0
6,6,black,Black,6.643953,-22.453617,-0.34901357,7.196627,-0.38273704,13.613709,3.2415102,2.6979387,1,3,0,0,0,0
7,9,white,Black,-21.905243,8.715736,-0.63702756,7.913756,0.29546255,7.7057695,2.4085517,3.2033072,3,1,0,0,0,0
8,5,white,Black,-21.17718,20.415192,-0.61307955,10.352426,-0.40465766,21.303879,2.6717653,3.2459009,3,0,0,0,0,0
9,11,white,Black,-17.616459,-4.333687,-0.6104094,10.232739,-0.120613605,4.832428,2.722273,2.689311,3,2,0,0,0,0
10,7,white,Black,-22.385424,-8.341808,-0.39488766,8.755047,-0.30355376,1.9054488,2.462525,2.9281323,3,2,0,0,0,0
11,7,white,Black,-20.98204,7.8202314,-0.3945166,9.327085,-0.34203643,10.778789,2.7169766,3.2069778,3,1,0,0,0,0
12,17,white,Black,-11.512672,3.9376204,-0.332319,7.7115426,0.10945459,8.397561,2.9963112,2.695366,3,2,0,0,0,0
13,12,black,Black,-4.189332,-14.368711,-0.42094183,2.0386648,-0.046556167,9.080201,3.1959465,2.8065412,2,3,0,0,0,0
14,6,black,Black,-7.993125,-24.781094,-0.6001328,3.334411,-0.63573825,15.199444,2.9019423,2.6989639,2,3,0,0,0,0
15,7,white,Black,-21.493645,21.710289,-0.6039909,8.052109,-0.4032045,21.355774,2.6796708,3.310914,3,0,0,0,0,0
16,7,white,Black,-22.99834,-8.514526,-0.7199652,9.622356,-0.40841043,3.451462,2.8081403,3.1866636,3,2,0,0,0,0
17,5,white,Black,-24.291779,-8.292237,-0.6985678,8.231892,-0.22266069,2.612978,2.6898935,3.117824,3,2,0,0,0,0
18,8,black,Black,-3.454937,-20.982847,-0.17309187,3.6687007,-0.4503849,12.244493,3.072719,2.826971,2,3,0,0,0,0
19,11,white,Black,-17.68532,-2.293685,-0.37624186,7.712668,0.1230018,2.3173666,3.2405617,2.9797158,3,2,0,0,0,0
20,11,white,Black,-17.597332,-3.7977724,-0.3348776,4.106362,-0.6689941,2.7445645,2.9099483,3.0006027,3,2,0,0,0,0
21,7,white,Black,-19.671354,5.5909843,-0.6554827,5.7165546,0.023944795,7.6298466,2.8198075,3.3108737,3,1,0,0,0,0
22,5,white,Black,-24.551138,4.4113717,-0.90035295,6.083265,-0.11848129,9.263252,2.7385435,3.1761148,3,1,0,0,0,0
23,11,white,Black,-17.652172,21.987625,-0.8159357,3.3567312,-0.3759968,24.40547,3.0429718,3.0174258,3,1,0,0,0,1
