Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White,Black_Self_Dying_Count,White_Self_Dying_Count,Black_Kill_Count,White_Kill_Count,Black_Hit_Count,White_Hit_Count
1,20,black,Black,0.45,-0.55,-0.35676134,0.12486334,-0.28938767,0.1592134,2.5301282,2.367198,2,3,0,0,0,0
2,6,black,Black,0.985,-1.015,-0.41436386,0.412322,0.23453937,0.41266128,3.089002,2.5882561,1,3,0,0,0,0
3,8,black,Black,0.48,-0.52,-0.15266149,0.06279699,0.1749071,0.07760078,3.1458337,2.5957963,2,3,0,0,0,0
4,9,white,Black,-1.025,0.98,-0.5797034,0.62075794,0.015237451,0.69483614,2.7608986,2.9129453,3,1,0,0,0,0
5,5,white,Black,-0.515,0.49,-0.43331146,0.2428344,0.024637595,0.25786924,2.713955,3.0040822,3,2,0,0,0,0
6,7,white,Black,-1.02,0.985,-0.47374865,0.72587216,0.13762996,0.73694295,2.7797322,2.8773117,3,1,0,0,0,0
7,17,white,Black,-1.045,0.96,-0.3685346,0.6043012,-0.13311104,0.6609493,2.319253,2.9926357,3,1,0,0,0,0
8,13,white,Black,-0.535,0.47,-0.72041315,0.21923105,-0.3368944,0.22725837,2.4774373,2.81526,3,2,0,0,0,0
9,6,black,Black,0.985,-1.015,0.21042193,0.27989894,0.20721339,0.30718076,3.2544854,2.6897306,1,3,0,0,0,0
10,5,white,Black,-0.515,0.49,-0.5909701,0.23243333,-0.40166634,0.20547146,2.7791436,2.9930758,3,2,0,0,0,0
11,9,white,Black,-1.025,0.98,-0.29893053,0.5303482,-0.16655007,0.59322375,2.8388608,3.0458229,3,1,0,0,0,0
12,5,white,Black,-1.015,0.99,-0.5973736,0.53415084,-0.30015802,0.55299467,2.7187498,3.219607,3,1,0,0,0,0
13,7,white,Black,-1.02,0.985,-0.50020266,0.47663924,-0.39741278,0.5612379,2.8716497,3.1330042,3,1,0,0,0,0
14,9,white,Black,-0.525,0.48,-0.4622574,0.12397325,0.10780038,0.1462491,2.7920873,2.6407375,3,2,0,0,0,0
15,10,black,Black,0.475,-0.525,-0.14243211,0.08482267,-0.106950626,0.08687273,3.237723,2.6461892,2,3,0,0,0,0
16,7,white,Black,-1.52,1.485,-0.78709507,0.8798653,-0.2804506,0.8252106,2.830695,3.1084845,3,0,0,0,0,0
17,12,black,Black,0.47,-0.53,-0.15969066,0.08184251,-0.25967163,0.07595424,3.23574,2.3817894,2,3,0,0,0,0
18,7,white,Black,-0.52,0.485,-0.67541385,0.044874538,-0.52081734,0.08646556,2.5690608,2.694914,3,2,0,0,0,0
19,9,white,Black,-0.525,0.48,-0.5038488,0.05337382,-0.38440722,0.043074787,2.4626675,2.8064718,3,2,0,0,0,0
20,8,black,Black,0.48,-0.52,-0.42088073,0.23663664,-0.5831738,0.27265614,2.539185,2.782786,2,3,0,0,0,0
21,11,white,Black,-0.53,0.475,-0.2806209,0.041284848,-0.598293,0.021401012,2.368018,3.0468452,3,2,0,0,0,0
22,15,white,Black,-0.54,0.465,-0.8682853,0.04289336,-0.3721758,0.11017142,2.7933908,2.5853353,3,2,0,0,0,0
23,5,white,Black,-1.015,0.99,-0.71673584,0.24918835,-0.39090848,0.1853235,2.7634516,3.1026316,3,1,0,0,0,0
24,9,white,Black,-0.02,0.48,-0.62339324,0.04763953,-0.3074919,0.06883256,2.978868,2.9577303,3,1,1,0,1,0
25,5,white,Black,-1.015,0.99,-0.47390187,0.24241322,-0.2014772,0.17114711,2.7549713,2.945569,3,1,0,0,0,0
26,7,white,Black,-0.52,0.485,-0.4553802,0.016877439,-0.13637039,0.007834264,2.7833333,2.8643408,3,2,0,0,0,0
27,5,white,Black,-1.015,0.99,-0.4586414,0.19396883,-0.27006403,0.12788752,2.6898155,3.016303,3,1,0,0,0,0
28,9,white,Black,-1.025,0.98,-0.47712797,0.18706498,-0.5330665,0.21381913,2.9538329,2.9240015,3,1,0,0,0,0
29,9,white,Black,-1.025,0.98,-0.7092395,0.08668208,-0.12196897,0.08467877,2.5831184,2.9819722,3,1,0,0,0,0
30,15,white,Black,-1.04,0.965,-0.7856387,0.04475478,-0.45201442,0.07145984,2.5180392,3.0104713,3,1,0,0,0,0
31,10,black,Black,0.475,-0.525,-0.4002775,0.5847596,-0.52903605,0.46700817,2.726821,2.7579057,2,3,0,0,0,0
32,9,white,Black,-1.025,0.98,-0.14025947,0.07773161,-0.23731636,0.060309403,2.740605,3.004846,3,1,0,0,0,0
33,10,black,Black,0.475,-0.525,0.22957624,0.53446174,-0.34780112,0.5863911,2.8103359,2.525702,2,3,0,0,0,0
