Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White,Black_Self_Dying_Count,White_Self_Dying_Count,Black_Kill_Count,White_Kill_Count,Black_Hit_Count,White_Hit_Count,White_Correct_Aim_Count,Black_Correct_Aim_Count
43,6,black,Black,0.9842311,-2.8808408,0.46465334,0.08694985,-1.0388025,0.05634986,0.0,0.0,1,3,0,0,0,0,2,0
44,6,black,Black,2.0832386,-3.3925834,0.524348,0.23685138,-0.70969087,0.033396143,0.0,0.0,0,3,0,0,0,0,3,0
45,6,black,Black,2.0718088,-3.437218,1.4367065,0.22638525,0.23415954,0.05656092,0.0,0.0,0,3,0,0,0,0,3,0
46,6,black,Black,2.0170474,-3.2863905,-0.13965559,0.19512625,-0.51254624,0.023566777,0.0,0.0,0,3,0,0,0,0,2,0
47,6,black,Black,1.0525378,-2.7750719,-0.707156,0.03956635,-1.1760651,0.054465014,0.0,0.0,1,3,0,0,0,0,2,0
48,6,black,Black,2.0248547,-3.4643483,0.56826,0.17597859,-0.034256935,0.040294316,0.0,0.0,0,3,0,0,0,0,2,0
49,6,black,Black,2.045288,-3.174118,0.29822564,0.1690145,0.42320004,0.033929903,0.0,0.0,0,3,0,0,0,0,2,0
50,6,black,Black,0.9922989,-2.645739,0.069512606,0.061977256,-0.30394778,0.13119213,0.0,0.0,1,3,0,0,0,0,2,0
51,6,black,Black,2.0420113,-3.2368171,0.08685589,0.15145533,-0.48147687,0.015608064,0.0,0.0,0,3,0,0,0,0,2,0
52,6,black,Black,2.0743954,-3.038982,0.07550526,0.15355404,-0.8528595,0.008898607,0.0,0.0,0,3,0,0,0,0,3,0
53,6,black,Black,2.0268943,-3.397849,0.6439786,0.120973416,-1.0810019,0.0193839,0.0,0.0,0,3,0,0,0,0,2,0
54,6,black,Black,1.07536,-2.8685286,-0.71183616,0.06630784,-0.5610198,0.021235287,0.0,0.0,1,3,0,0,0,0,3,0
55,6,black,Black,1.0481251,-2.8918388,-0.31888914,0.0816447,-1.1501343,0.044618785,0.0,0.0,1,3,0,0,0,0,3,0
56,6,black,Black,-0.023878455,-2.5118144,-0.759686,0.8858636,-0.15217988,0.20489196,0.0,0.0,2,3,0,0,0,0,2,0
57,6,black,Black,1.0631214,-2.9029975,-0.5921905,0.0812881,0.5789444,0.013671012,0.0,0.0,1,3,0,0,0,0,2,0
58,6,black,Black,0.98753387,-2.925365,-0.73457104,0.10712696,0.38137016,0.0055469237,0.0,0.0,1,3,0,0,0,0,2,0
59,6,black,Black,2.0326867,-3.380606,0.9160814,0.09614018,0.026159286,0.023882493,0.0,0.0,0,3,0,0,0,0,2,0
60,6,black,Black,1.9949942,-3.2903912,-0.63970584,0.08027158,-0.24241686,0.010848981,0.0,0.0,0,3,0,0,0,0,1,0
61,6,black,Black,0.98908424,-2.9048855,-0.62228966,0.19746517,0.807899,0.027879434,0.0,0.0,1,3,0,0,0,0,2,0
62,6,black,Black,0.99566084,-2.9129748,0.9420087,0.0953246,-0.5489289,0.027574642,0.0,0.0,1,3,0,0,0,0,2,0
63,6,black,Black,2.0522819,-3.3939385,-0.12026342,0.10528815,-0.25732008,0.03223169,0.0,0.0,0,3,0,0,0,0,2,0
64,6,black,Black,0.92592585,-2.602937,0.5713024,0.2682138,0.9452958,0.07912014,0.0,0.0,1,3,0,0,1,0,2,0
65,6,black,Black,2.060512,-3.35057,-0.073427044,0.11311856,-0.46803045,0.027074298,0.0,0.0,0,3,0,0,0,0,2,0
66,6,black,Black,0.9960791,-2.8087072,-0.10217261,0.21028276,0.068709455,0.038241744,0.0,0.0,1,3,0,0,1,0,2,0
67,6,black,Black,2.0780363,-3.351769,0.0020838578,0.12606949,-0.03953004,0.056493014,0.0,0.0,0,3,0,0,0,0,3,0
68,6,black,Black,2.0460815,-3.3846798,-0.03512128,0.11267099,-0.052878063,0.03917547,0.0,0.0,0,3,0,0,0,0,2,0
69,6,black,Black,2.0285296,-3.3409743,-0.44681063,0.099963985,1.444448,0.07578881,0.0,0.0,0,3,0,0,0,0,2,0
70,6,black,Black,2.0687563,-3.2782204,-0.5996053,0.10280669,0.75192,0.022686973,0.0,0.0,0,3,0,0,0,0,3,0
71,6,black,Black,1.9871972,-3.4140282,0.20943196,0.07874455,0.34213027,0.0653009,0.0,0.0,0,3,0,0,0,0,2,0
72,6,black,Black,2.0127125,-3.201993,0.047454197,0.06911541,-0.67736644,0.019854246,0.0,0.0,0,3,0,0,0,0,2,0
73,6,black,Black,1.9351448,-3.4437997,0.2697223,0.03828011,-1.3761762,0.023495285,0.0,0.0,0,3,0,0,0,0,1,0
74,6,black,Black,0.94333106,-2.7132506,0.09783689,0.29704332,0.5644935,0.03268119,0.0,0.0,1,3,0,0,0,0,2,0
75,6,black,Black,1.991177,-3.22848,0.07498368,0.032312177,0.36883697,0.004709436,0.0,0.0,0,3,0,0,0,0,2,0
76,6,black,Black,1.0030057,-3.0640364,0.4707087,0.1785871,-0.20927413,0.006461822,0.0,0.0,1,3,0,0,0,0,2,0
77,6,black,Black,0.8827826,-2.861786,-0.35362634,0.40207526,1.7721186,0.03407596,0.0,0.0,1,3,0,0,0,0,2,0
78,6,black,Black,0.88577694,-2.8124442,-0.8547147,0.39001903,-0.04295556,0.029145775,0.0,0.0,1,3,0,0,0,0,1,0
79,6,black,Black,1.0676845,-2.8527446,-0.30050445,0.2643621,0.6878319,0.024915472,0.0,0.0,1,3,0,0,0,0,3,0
80,6,black,Black,-0.06407386,-2.5648298,-0.15230091,1.0934964,0.8653579,0.09795928,0.0,0.0,2,3,0,0,0,0,0,0
81,6,black,Black,1.0543369,-2.9464626,-0.8990517,0.14015454,-0.41711578,0.015184267,0.0,0.0,1,3,0,0,0,0,2,0
82,6,black,Black,0.86542773,-2.9992397,0.27667108,0.35537732,0.7946051,0.0056415237,0.0,0.0,1,3,0,0,0,0,1,0
83,6,black,Black,2.0325866,-3.3958383,0.8339849,0.054312795,0.52080804,0.048988793,0.0,0.0,0,3,0,0,0,0,2,0
84,6,black,Black,0.99098474,-3.0680547,-0.19934042,0.23912783,0.05226819,0.0032524697,0.0,0.0,1,3,0,0,0,0,2,0
85,6,black,Black,1.0147333,-2.9754963,-0.48168215,0.11512033,-0.15742381,0.007225539,0.0,0.0,1,3,0,0,0,0,1,0
86,6,black,Black,0.9233115,-2.9606335,0.42347074,0.2344244,0.0015031496,0.030710816,0.0,0.0,1,3,0,0,0,0,1,0
87,6,black,Black,1.9431957,-3.3643556,0.23671372,0.06686851,-0.2392927,0.0068228636,0.0,0.0,0,3,0,0,0,0,1,0
88,6,black,Black,2.0599627,-3.3894856,0.7005537,0.12222931,-0.085949816,0.044032525,0.0,0.0,0,3,0,0,0,0,3,0
89,6,black,Black,1.0612028,-2.8754883,0.4525012,0.12761502,0.32225767,0.022270521,0.0,0.0,1,3,0,0,0,0,3,0
90,6,black,Black,1.9503386,-3.248598,1.256327,0.09234371,-0.6025073,0.018290846,0.0,0.0,0,3,0,0,0,0,1,0
91,6,black,Black,2.027067,-3.3186073,0.5250152,0.13368076,-0.4343597,0.016787523,0.0,0.0,0,3,0,0,0,0,2,0
92,6,black,Black,0.89853925,-2.9555335,-0.4249893,0.11460606,0.46578398,0.010727667,0.0,0.0,1,3,0,0,0,0,2,0
