Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White,Black_Self_Dying_Count,White_Self_Dying_Count,Black_Kill_Count,White_Kill_Count,Black_Hit_Count,White_Hit_Count
1,6,black,Black,0.485,-2.515,-0.4394957,0.11448002,-0.352928,1.3812875,0.0,0.0,1,3,0,0,0,0
2,6,black,Black,0.485,-2.515,0.2740051,0.32793856,-0.5381527,1.336991,0.0,0.0,1,3,0,0,0,0
3,6,black,Black,0.485,-2.515,-0.32372332,0.2831643,-0.43300566,1.2622749,0.0,0.0,1,3,0,0,0,0
4,6,black,Black,0.485,-2.515,0.90289736,0.037928537,-0.6260863,1.1884161,0.0,0.0,1,3,0,0,0,0
5,6,black,Black,0.485,-2.515,-0.96465224,0.20603682,0.3590983,1.2079157,0.0,0.0,1,3,0,0,0,0
6,6,black,Black,0.485,-2.515,0.0540452,0.18027844,0.07091268,1.0459485,0.0,0.0,1,3,0,0,0,0
7,6,black,Black,0.485,-2.515,-0.23704655,0.09585714,-0.5755426,1.0953187,0.0,0.0,1,3,0,0,0,0
8,6,black,Black,1.485,-3.015,-0.21426599,0.49746373,-0.081105076,1.4921829,0.0,0.0,0,3,0,0,0,0
9,6,black,Black,0.485,-2.515,0.038758915,0.10705801,0.1086084,0.95888186,0.0,0.0,1,3,0,0,0,0
10,6,black,Black,-0.515,-2.015,-0.075476326,0.34038746,-0.90441847,0.39945242,0.0,0.0,2,3,0,0,0,0
11,6,black,Black,0.485,-2.515,-0.047745544,0.07075287,-0.0454216,0.7694339,0.0,0.0,1,3,0,0,0,0
12,6,black,Black,-0.515,-2.015,-0.33045307,0.52030635,-0.32060862,0.34602055,0.0,0.0,2,3,0,0,0,0
13,6,black,Black,0.485,-2.515,1.2122934,0.059743654,0.29107895,0.669686,0.0,0.0,1,3,0,0,0,0
14,6,black,Black,0.485,-2.515,-0.44549355,0.04137511,-0.8594832,0.6132347,0.0,0.0,1,3,0,0,0,0
15,4,black,Black,1.99,-2.51,-1.5396898,0.76519644,-0.6724038,0.92251194,0.0,0.0,0,2,1,0,0,0
16,6,black,Black,1.485,-3.015,-0.22817111,0.28460324,-0.45692095,1.1224769,0.0,0.0,0,3,0,0,0,0
17,6,black,Black,0.485,-2.515,-0.32754645,0.036188494,-0.71887904,0.5414302,0.0,0.0,1,3,0,0,0,0
18,6,black,Black,0.485,-2.515,-0.29069662,0.07799158,-0.19091241,0.433116,0.0,0.0,1,3,0,0,0,0
19,6,black,Black,0.485,-2.515,-0.090726376,0.023638332,-1.3497361,0.3425033,0.0,0.0,1,3,0,0,0,0
20,6,black,Black,0.485,-2.515,-0.004039049,0.020220634,-0.12361368,0.28922734,0.0,0.0,1,3,0,0,0,0
21,6,black,Black,0.485,-2.515,-0.5287191,0.067489475,-1.1433214,0.30692497,0.0,0.0,1,3,0,0,0,0
22,6,black,Black,0.485,-2.515,0.9049144,0.056827858,-0.27754483,0.33232826,0.0,0.0,1,3,0,0,0,0
23,6,black,Black,0.485,-2.515,0.067024864,0.054375306,-0.5418854,0.2869529,0.0,0.0,1,3,0,0,0,0
24,6,black,Black,-0.515,-2.015,-0.16903122,0.5335568,-0.8855694,0.052461997,0.0,0.0,2,3,0,0,0,0
25,6,black,Black,0.485,-2.515,-0.95701975,0.04118104,-0.4225081,0.18765967,0.0,0.0,1,3,0,0,0,0
26,6,black,Black,1.485,-3.015,0.19277437,0.23600543,0.0055065155,0.5280307,0.0,0.0,0,3,0,0,0,0
27,6,black,Black,0.485,-2.515,0.057320595,0.05485006,-0.7159982,0.14590631,0.0,0.0,1,3,0,0,0,0
28,6,black,Black,0.485,-2.515,-0.62972206,0.0045336247,-0.26884112,0.09016798,0.0,0.0,1,3,0,0,0,0
29,8,black,Black,-0.020000000000000004,-1.42,-0.3356818,0.30718768,-1.2627234,0.35938266,0.0,0.0,1,3,0,1,0,1
30,6,black,Black,0.485,-2.515,-0.1468118,0.04647456,-0.24866311,0.12285575,0.0,0.0,1,3,0,0,0,0
31,6,black,Black,-0.515,-2.015,-0.8044698,0.45084038,-0.0818313,0.12356255,0.0,0.0,2,3,0,0,0,0
32,6,black,Black,0.485,-2.515,-0.15679328,0.023628103,-0.4211115,0.072069265,0.0,0.0,1,3,0,0,0,0
33,5,black,Black,0.985,-2.01,0.35905862,0.17161846,-0.13326049,0.052596256,0.0,0.0,1,2,1,0,0,0
34,6,black,Black,-0.515,-2.015,-0.03401963,0.5006175,-0.7561248,0.06964843,0.0,0.0,2,3,0,0,0,0
35,6,black,Black,0.485,-2.515,-0.8196497,0.008568221,-0.92412734,0.03429989,0.0,0.0,1,3,0,0,0,0
36,6,black,Black,0.485,-2.515,0.15073037,0.022494668,-0.1521085,0.06638492,0.0,0.0,1,3,0,0,0,0
37,6,black,Black,0.485,-2.515,0.6384383,0.0041584973,-0.6511205,0.059758585,0.0,0.0,1,3,0,0,0,0
38,6,black,Black,1.485,-3.015,-0.23580146,0.41056904,-0.5570075,0.27710065,0.0,0.0,0,3,0,0,0,0
39,6,black,Black,0.485,-2.515,-0.7815354,0.011521071,-0.9455638,0.039282795,0.0,0.0,1,3,0,0,0,0
40,6,black,Black,0.485,-2.515,-0.43905267,0.007156763,-0.47565588,0.02904134,0.0,0.0,1,3,0,0,0,0
41,6,black,Black,0.485,-2.515,-0.061230022,0.020616636,-0.5822406,0.038346224,0.0,0.0,1,3,0,0,0,0
42,6,black,Black,0.485,-2.515,0.017380396,0.010032608,-0.27478853,0.03357442,0.0,0.0,1,3,0,0,0,0
43,6,black,Black,1.485,-3.015,-0.10464001,0.40092883,-0.754302,0.17295898,0.0,0.0,0,3,0,0,0,0
44,6,black,Black,0.485,-2.515,-0.3396558,0.007825362,-0.4517955,0.03500105,0.0,0.0,1,3,0,0,0,0
45,6,black,Black,0.485,-2.515,-0.32331356,0.023434812,-0.62444067,0.024372155,0.0,0.0,1,3,0,0,0,0
46,6,black,Black,1.485,-3.015,-0.13577747,0.38248968,0.247056,0.08742342,0.0,0.0,0,3,0,0,0,0
47,6,black,Black,0.485,-2.515,-1.6302513,0.025980413,-1.007589,0.018955728,0.0,0.0,1,3,0,0,0,0
48,6,black,Black,0.485,-2.515,-0.058671076,0.0031928623,0.7709709,0.02785936,0.0,0.0,1,3,0,0,0,0
49,6,black,Black,0.485,-2.515,-0.36587396,0.011641257,-1.0037476,0.01478753,0.0,0.0,1,3,0,0,0,0
50,6,black,Black,0.485,-2.515,0.24791884,0.0049840957,-0.32704148,0.016286824,0.0,0.0,1,3,0,0,0,0
51,6,black,Black,0.485,-2.515,-1.0165104,0.012080613,-1.3024789,0.014067764,0.0,0.0,1,3,0,0,0,0
52,6,black,Black,-0.515,-2.015,-0.081091404,0.56123143,-0.45554557,0.12194031,0.0,0.0,2,3,0,0,0,0
53,6,black,Black,0.485,-2.515,-0.34380126,0.005065208,-0.2674322,0.013318594,0.0,0.0,1,3,0,0,0,0
54,6,black,Black,1.485,-3.015,-1.0419555,0.32873723,-0.40667853,0.10265111,0.0,0.0,0,3,0,0,0,0
