Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White,Black_Self_Dying_Count,White_Self_Dying_Count,Black_Kill_Count,White_Kill_Count,Black_Hit_Count,White_Hit_Count,White_Correct_Aim_Count,Black_Correct_Aim_Count
1,6,black,Black,0.49233335,-2.5161216,-0.8500869,0.10353609,-0.4038256,1.5409173,0.0,0.0,1,3,0,0,0,0,2,0
2,6,black,Black,0.4936115,-2.5202987,-0.33620295,0.1257846,-1.4532099,1.492062,0.0,0.0,1,3,0,0,0,0,3,0
3,6,black,Black,0.49230152,-2.5195515,-0.48349246,0.1173929,0.14214094,1.345924,0.0,0.0,1,3,0,0,0,0,1,0
4,6,black,Black,1.4935925,-3.0172985,0.16323812,0.55786425,-0.8909512,1.837533,0.0,0.0,0,3,0,0,0,0,3,0
5,6,black,Black,0.49341875,-2.51904,-0.044899303,0.11106113,-0.49892458,1.2824482,0.0,0.0,1,3,0,0,0,0,3,0
6,6,black,Black,0.4932419,-2.5199862,-0.25964284,0.05118008,-0.68332607,1.1612757,0.0,0.0,1,3,0,0,0,0,2,0
7,6,black,Black,1.4938359,-3.0171664,0.8535502,0.37432614,-0.4104043,1.596548,0.0,0.0,0,3,0,0,0,0,3,0
8,6,black,Black,1.4936653,-3.0160246,0.6665871,0.29577023,-0.8151104,1.5430475,0.0,0.0,0,3,0,0,0,0,3,0
9,6,black,Black,-0.5074775,-2.0218778,-0.5490964,0.4978932,-0.85470086,0.50199753,0.0,0.0,2,3,0,0,0,0,1,0
10,6,black,Black,-0.5073304,-2.0198674,-0.870502,0.60663843,0.22679298,0.47398365,0.0,0.0,2,3,0,0,0,0,2,0
11,6,black,Black,0.4913339,-2.51801,-0.3882223,0.08236119,-0.49033698,0.7933225,0.0,0.0,1,3,0,0,0,0,2,0
12,6,black,Black,1.4930798,-3.0207036,1.1128017,0.15980856,-0.35626158,1.2928549,0.0,0.0,0,3,0,0,0,0,2,0
13,6,black,Black,0.49133432,-2.5185483,-0.4988532,0.066423915,0.25432992,0.54414046,0.0,0.0,1,3,0,0,0,0,2,0
14,6,black,Black,1.4939489,-3.0178251,0.58493686,0.22576238,-0.43136737,1.0803065,0.0,0.0,0,3,0,0,0,0,3,0
15,6,black,Black,1.4938867,-3.01594,-0.57257444,0.18612953,-1.1167302,1.1271883,0.0,0.0,0,3,0,0,0,0,3,0
16,6,black,Black,1.4938408,-3.0158682,0.873199,0.19832762,-1.7485396,0.9690195,0.0,0.0,0,3,0,0,0,0,3,0
17,6,black,Black,0.49188322,-2.517583,-0.29627267,0.05109963,0.59067804,0.39045438,0.0,0.0,1,3,0,0,0,0,1,0
18,8,black,Black,0.4902913,-2.5188265,0.21062315,0.08359517,-0.5787395,0.39178765,0.0,0.0,1,3,0,0,0,0,3,0
19,6,black,Black,0.4924717,-2.518328,-0.9561159,0.09263403,-2.0877106,0.2597234,0.0,0.0,1,3,0,0,0,0,2,0
20,6,black,Black,0.49216664,-2.5202627,0.087940134,0.051586267,-0.6574709,0.27845335,0.0,0.0,1,3,0,0,0,0,2,0
21,6,black,Black,0.4928125,-2.519798,0.028889677,0.10638764,-0.19392832,0.19898342,0.0,0.0,1,3,0,0,0,0,2,0
22,6,black,Black,0.49262822,-2.5182512,-0.18992369,0.046058763,-1.2304856,0.18363906,0.0,0.0,1,3,0,0,0,0,2,0
23,6,black,Black,0.49345875,-2.519957,-2.1502368,0.039996315,-0.6534993,0.10689137,0.0,0.0,1,3,0,0,0,0,3,0
24,6,black,Black,0.49328017,-2.5182445,-0.26437163,0.03518462,0.08330524,0.061100345,0.0,0.0,1,3,0,0,0,0,2,0
25,8,black,Black,-0.009049356,-1.4220665,0.52043366,0.17589936,-0.39126325,0.29567438,0.0,0.0,1,3,0,1,0,1,3,1
26,6,black,Black,0.49307376,-2.5185966,-0.5905296,0.029434875,0.68612045,0.036259007,0.0,0.0,1,3,0,0,0,0,2,0
27,6,black,Black,1.4937496,-3.0159547,-0.106887974,0.25546262,-0.70980054,0.33062288,0.0,0.0,0,3,0,0,0,0,3,0
28,6,black,Black,-0.508253,-2.020978,-0.2178107,0.72435856,-0.31917152,0.08419167,0.0,0.0,2,3,0,0,0,0,1,0
29,6,black,Black,0.49263287,-2.5193856,0.11582621,0.04607605,-0.6467311,0.09950947,0.0,0.0,1,3,0,0,0,0,2,0
30,6,black,Black,0.49113405,-2.5201638,0.14077568,0.022907874,-0.36416116,0.04586796,0.0,0.0,1,3,0,0,0,0,1,0
31,6,black,Black,-0.5089433,-2.0186117,-0.19011967,0.5823662,0.1961503,0.1824082,0.0,0.0,2,3,0,0,0,0,2,0
32,6,black,Black,0.49049866,-2.5197108,-0.13939826,0.029749269,-0.611898,0.043334883,0.0,0.0,1,3,0,0,0,0,2,0
33,6,black,Black,-0.50707126,-2.0202193,-0.33797646,0.53802985,-0.83701235,0.20122395,0.0,0.0,2,3,0,0,0,0,2,0
34,6,black,Black,0.4937458,-2.518598,-0.2891954,0.017446911,-0.0367709,0.032233857,0.0,0.0,1,3,0,0,0,0,3,0
35,6,black,Black,0.49262226,-2.5166771,-0.2943968,0.021515617,-0.3701625,0.01861939,0.0,0.0,1,3,0,0,0,0,1,1
36,6,black,Black,0.4922654,-2.514259,-0.5888952,0.032180328,-1.2670226,0.024429636,0.0,0.0,1,3,0,0,0,0,2,1
