Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White
1,6,black,Black,-1.03,-4.03,-0.15673983,0.3737384,0.0,0.0,3.099994,0.0
2,5,white,Black,-4.03,-1.02,-0.25105706,2.2848587,0.0,0.0,2.614178,0.0
3,6,black,Black,-1.03,-4.03,-1.157612,0.47192717,0.0,0.0,2.6545687,0.0
4,5,white,Black,-4.03,-1.02,-0.6017159,1.7748495,0.0,0.0,2.6073253,0.0
5,6,black,Black,-0.030000000000000027,-4.03,-0.4368616,0.55567473,0.0,0.0,3.1614158,0.0
6,6,black,Black,1.17,-4.03,0.09855455,1.7055153,0.0,0.0,3.1880674,0.0
7,6,black,Black,-1.03,-4.03,-0.3260533,0.1585132,0.0,0.0,2.9569376,0.0
8,6,black,Black,-0.030000000000000027,-4.03,-0.26240775,0.9182003,0.0,0.0,2.7974033,0.0
9,6,black,Black,-1.03,-4.03,-0.5480133,0.47774228,0.0,0.0,2.6702473,0.0
10,6,black,Black,-1.03,-4.03,0.17825888,0.03699948,0.0,0.0,3.0691004,0.0
11,6,black,Black,-0.8300000000000001,-4.03,-0.037361797,0.01982104,0.0,0.0,3.0618446,0.0
12,6,black,Black,-1.03,-4.03,-0.31250817,0.038555942,0.0,0.0,2.6677673,0.0
13,6,black,Black,-0.030000000000000027,-4.03,-0.026498476,0.107763745,0.0,0.0,3.1912804,0.0
14,6,black,Black,-1.03,-4.03,-0.5838189,0.16773105,0.0,0.0,2.5171258,0.0
15,6,black,Black,-0.030000000000000027,-4.03,-0.11275313,0.085042596,0.0,0.0,3.146972,0.0
16,6,black,Black,-1.03,-4.03,0.13117744,0.40486792,0.0,0.0,3.0688946,0.0
17,6,black,Black,0.97,-4.03,0.36889827,0.4738913,0.0,0.0,3.179156,0.0
18,6,black,Black,-0.030000000000000027,-4.03,0.28718007,0.038994923,0.0,0.0,2.9228315,0.0
19,3,white,Black,-4.02,-0.010000000000000009,-0.9017444,2.7350016,0.0,0.0,2.7949045,0.0
20,6,black,Black,-0.030000000000000027,-4.03,-0.011413356,0.08632199,0.0,0.0,3.1835496,0.0
21,5,white,Black,-4.03,-1.02,-0.13757847,2.648468,0.0,0.0,2.503665,0.0
22,5,white,Black,-4.03,-1.02,-0.34482485,2.4342253,0.0,0.0,2.560178,0.0
23,6,black,Black,-1.03,-4.03,-0.21280363,0.31017312,0.0,0.0,2.8811414,0.0
24,6,black,Black,0.97,-4.03,0.5408252,0.47390544,0.0,0.0,3.2007706,0.0
25,6,black,Black,-0.8300000000000001,-4.03,-0.52635086,0.15604822,0.0,0.0,3.0160666,0.0
26,6,black,Black,-1.03,-4.03,-0.12244258,0.15972392,0.0,0.0,2.7607298,0.0
27,6,black,Black,-0.030000000000000027,-4.03,0.099755965,0.051018327,0.0,0.0,3.1652727,0.0
28,6,black,Black,-0.030000000000000027,-4.03,-0.18486093,0.06730426,0.0,0.0,3.147092,0.0
29,6,black,Black,-0.030000000000000027,-4.03,-0.61783326,0.20712078,0.0,0.0,2.7630117,0.0
30,6,black,Black,-0.030000000000000027,-4.03,-0.40146106,0.8100007,0.0,0.0,2.7761242,0.0
31,6,black,Black,-1.03,-4.03,-0.0092047565,0.07575212,0.0,0.0,2.9587758,0.0
32,6,black,Black,0.97,-4.03,-0.62137765,0.753758,0.0,0.0,3.2158337,0.0
33,6,black,Black,-1.03,-4.03,-0.0839982,0.16302957,0.0,0.0,2.9877827,0.0
34,6,black,Black,-0.030000000000000027,-4.03,-0.424777,0.1975501,0.0,0.0,2.8332355,0.0
35,6,black,Black,-0.030000000000000027,-4.03,-0.3413328,0.18240328,0.0,0.0,2.8287182,0.0
36,6,black,Black,-1.03,-4.03,-0.3699606,0.15438074,0.0,0.0,2.739289,0.0
37,6,black,Black,0.97,-4.03,0.054052316,0.6917615,0.0,0.0,3.1249645,0.0
38,6,black,Black,-0.030000000000000027,-4.03,-0.3670489,0.5622771,0.0,0.0,2.731823,0.0
39,6,black,Black,0.16999999999999998,-4.03,-0.27140507,0.061095696,0.0,0.0,3.0752661,0.0
40,6,black,Black,-1.03,-4.03,0.07529962,0.42955136,0.0,0.0,3.0668137,0.0
41,6,black,Black,-0.030000000000000027,-4.03,-0.05578041,0.007101012,0.0,0.0,3.0221622,0.0
42,6,black,Black,0.97,-4.03,-0.24722068,0.29429808,0.0,0.0,3.049366,0.0
43,6,black,Black,-0.030000000000000027,-4.03,-0.47010246,0.06965197,0.0,0.0,3.1941092,0.0
44,6,black,Black,-0.030000000000000027,-4.03,-0.40246987,0.06311909,0.0,0.0,2.935276,0.0
45,6,black,Black,-1.03,-4.03,-0.36002943,0.5288804,0.0,0.0,2.784361,0.0
46,6,black,Black,-1.03,-4.03,-0.46219757,0.37232563,0.0,0.0,2.6048539,0.0
47,5,white,Black,-4.03,-1.02,-0.9628931,3.2151623,0.0,0.0,2.5627022,0.0
48,6,black,Black,-0.030000000000000027,-4.03,-0.3973024,0.18527941,0.0,0.0,2.7168615,0.0
49,5,white,Black,-4.03,-1.02,-0.75495136,3.1196232,0.0,0.0,2.5957935,0.0
50,5,white,Black,-4.03,-1.02,-0.565963,3.0428379,0.0,0.0,2.590905,0.0
51,6,black,Black,-0.030000000000000027,-4.03,-0.31365243,0.009214453,0.0,0.0,2.846217,0.0
