Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White,Black_Self_Dying_Count,White_Self_Dying_Count,Black_Kill_Count,White_Kill_Count,Black_Hit_Count,White_Hit_Count
1,6,black,Black,-4.535276803519265,-10.506,-0.61280864,1.1616536,0.0,0.0,2.7163808,0.0,2,3,0,0,0,0
2,6,black,Black,-4.549410895716267,-10.506,-0.2788505,0.97205716,0.0,0.0,3.2092686,0.0,2,3,0,0,0,0
3,3,white,Black,-10.504,-1.5019999999999998,-0.7975466,2.583221,0.0,0.0,2.6747062,0.0,3,1,0,0,0,0
4,6,black,Black,-1.5059999999999998,-10.506,-0.12388263,4.312307,0.0,0.0,2.9941752,0.0,1,3,0,0,0,0
5,6,black,Black,-4.456238179877675,-10.506,-0.2737825,1.1219996,0.0,0.0,3.060527,0.0,2,3,0,0,0,0
6,6,black,Black,-1.4454242870334042,-10.506,-0.26910457,2.3363345,0.0,0.0,3.2360904,0.0,1,3,0,0,0,0
7,6,black,Black,-1.5117591256472007,-10.506,-0.4274625,1.493646,0.0,0.0,2.9222965,0.0,1,3,0,0,0,0
8,6,black,Black,-4.508069343399924,-10.506,-0.33419538,0.8873356,0.0,0.0,2.988095,0.0,2,3,0,0,0,0
9,6,black,Black,1.4499417876074154,-10.506,-0.28124347,1.9628153,0.0,0.0,3.2017136,0.0,0,3,0,0,0,0
10,6,black,Black,-4.456040817621394,-10.506,-0.06875446,2.501361,0.0,0.0,2.8712008,0.0,2,3,0,0,0,0
11,6,black,Black,-4.456164936512448,-10.506,-0.69718266,2.247822,0.0,0.0,2.9857833,0.0,2,3,0,0,0,0
12,5,white,Black,-10.506,-4.504,-0.5572639,6.421713,0.0,0.0,2.5522654,0.0,3,2,0,0,0,0
13,5,white,Black,-10.506,-4.504,-0.90486306,5.469601,0.0,0.0,2.6743348,0.0,3,2,0,0,0,0
14,6,black,Black,-4.5531819793001755,-10.506,-0.16528115,0.76782054,0.0,0.0,3.1243346,0.0,2,3,0,0,0,0
15,5,white,Black,-10.506,-4.504,-0.74693644,3.1751935,0.0,0.0,2.645199,0.0,3,2,0,0,0,0
16,6,black,Black,-4.4562044380464485,-10.506,-1.3906933,4.2414174,0.0,0.0,2.510056,0.0,2,3,0,0,0,0
17,6,black,Black,-1.5031798829937713,-10.506,-0.14508598,5.781589,0.0,0.0,2.6867044,0.0,1,3,0,0,0,0
18,6,black,Black,1.5119072001830125,-10.506,-0.3115884,5.6002026,0.0,0.0,2.9611657,0.0,0,3,0,0,0,0
19,6,black,Black,-4.456024806832972,-10.506,-0.80142987,1.9151077,0.0,0.0,2.5030162,0.0,2,3,0,0,0,0
20,6,black,Black,-4.54810733157627,-10.506,-0.86007524,1.0234385,0.0,0.0,2.4765217,0.0,2,3,0,0,0,0
