Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White
1,6,black,Black,89.97535,-65.41643,-0.51972085,91.93612,0.0,0.0,2.9223106,0.0
2,6,black,Black,94.968414,-65.28282,-0.37288016,94.94424,0.0,0.0,3.08734,0.0
3,5,white,Black,-65.35592,89.71663,-0.747337,59.55652,0.0,0.0,2.6532097,0.0
4,6,black,Black,94.92531,-65.345215,-0.4407116,94.50509,0.0,0.0,3.0800087,0.0
5,6,black,Black,94.608665,-65.391846,-0.14292817,92.49061,0.0,0.0,3.153493,0.0
6,6,black,Black,89.85951,-65.38182,-0.67806923,92.86099,0.0,0.0,2.7386112,0.0
7,6,black,Black,94.77667,-65.40878,-0.21051353,95.84672,0.0,0.0,2.877145,0.0
8,5,white,Black,-65.41039,89.7286,-0.9303789,60.522778,0.0,0.0,2.7377656,0.0
9,6,black,Black,94.809746,-65.3842,-0.026254267,91.81768,0.0,0.0,3.212475,0.0
10,5,white,Black,-65.23095,89.71663,-0.55495864,60.346905,0.0,0.0,2.6602178,0.0
11,6,black,Black,94.78752,-65.38077,-0.3750163,91.55383,0.0,0.0,3.3248632,0.0
12,6,black,Black,89.84315,-65.442894,-0.20387638,89.995415,0.0,0.0,3.0163658,0.0
13,6,black,Black,89.77457,-65.40765,-0.76443946,91.44405,0.0,0.0,2.6616497,0.0
14,6,black,Black,94.74028,-65.396736,-0.5191696,91.02661,0.0,0.0,3.226139,0.0
15,5,white,Black,-65.25641,89.73626,-1.3090099,61.2972,0.0,0.0,2.66342,0.0
16,6,black,Black,89.721886,-65.41669,-0.34089446,89.25967,0.0,0.0,3.0183182,0.0
17,6,black,Black,99.966965,-65.351074,-0.21269345,95.55659,0.0,0.0,3.281253,0.0
18,6,black,Black,89.94294,-65.38182,-0.7152337,91.00382,0.0,0.0,2.747757,0.0
19,6,black,Black,94.79032,-65.38677,-0.3834792,90.11562,0.0,0.0,3.288006,0.0
20,6,black,Black,94.81049,-65.43349,0.07030162,93.3533,0.0,0.0,3.010377,0.0
21,6,black,Black,94.650894,-65.36369,-0.5110268,91.116356,0.0,0.0,3.136586,0.0
22,6,black,Black,94.76585,-65.42514,-0.8648654,93.00843,0.0,0.0,2.953565,0.0
23,6,black,Black,89.82501,-65.42129,-0.9422456,89.34605,0.0,0.0,2.7403717,0.0
24,6,black,Black,94.92906,-65.35841,-0.7348974,90.18103,0.0,0.0,3.1051528,0.0
25,6,black,Black,94.89935,-65.34009,-0.64915764,91.96923,0.0,0.0,2.9289892,0.0
26,6,black,Black,100.09381,-65.31359,-0.2716291,92.32626,0.0,0.0,3.22146,0.0
27,6,black,Black,95.00586,-65.37984,-0.49676594,86.88391,0.0,0.0,3.3596976,0.0
28,6,black,Black,89.625015,-65.38823,-0.8521253,86.871925,0.0,0.0,2.782301,0.0
